Program,Type,Transfer Ratio,Transfer Time
Aer Lingus Avios,Airline,1:1,Within 10 Minutes
Air France/KLM Flying Blue,Airline,1:1,Within 10 Minutes
Air Canada Aeroplan,Airline,1:1,Within 10 Minutes
Alaska Airlines Mileage Plan,Airline,1:1,Within 10 Minutes
Avianca LifeMiles,Airline,1:1,Within 10 Minutes
British Airways Avios,Airline,1:1,Within 10 Minutes
Cathay Pacific Asia Miles,Airline,1:1,Within 10 Minutes
Emirates Skywards,Airline,1:1,Within 10 Minutes
Etihad Guest,Airline,1:1,Within 10 Minutes
Iberia Avios,Airline,1:1,Within 10 Minutes
Japan Airlines (JAL),Airline,1:1,Within 10 Minutes (new accounts may have to wait up to 7 days to redeem)
Qatar Airways,Airline,1:1,Within 10 Minutes
Southwest Rapid Rewards,Airline,1:1,Twice per day
Spirit,Airline,1:1,Within 10 Minutes
TAP Air Portugal Miles&Go,Airline,1:1,Within 10 Minutes
Turkish Miles & Smiles,Airline,1:1,Within 10 Minutes
United MileagePlus,Airline,1:1,Within 10 Minutes
Virgin Red,Airline,1:1,Within 10 Minutes
Accor,Hotel,3:2,Within 10 Minutes
World of Hyatt,Hotel,1:1,Within 10 Minutes
IHG Hotels,Hotel,1:1,Within 10 Minutes
Marriott Bonvoy,Hotel,1:1,Within 10 Minutes
Hilton Honors,Hotel,1:1,Within 10 Minutes
